id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,Neon Echo,synthwave,happy,0.78,115,0.75,0.80,0.15
12,Rainy Window,Paper Lanterns,ambient,chill,0.25,65,0.58,0.35,0.93
13,Bass Drop City,Max Pulse,edm,intense,0.95,140,0.70,0.92,0.03
14,Autumn Leaves,Slow Stereo,jazz,relaxed,0.32,85,0.68,0.45,0.91
15,Pixel Party,Voltline,edm,happy,0.88,128,0.82,0.90,0.07
16,Deep Ocean,Orbit Bloom,ambient,focused,0.30,58,0.50,0.30,0.95
17,Golden Hour,Indigo Parade,indie pop,happy,0.72,120,0.79,0.76,0.40
18,Thunder Road,Voltline,rock,intense,0.94,158,0.45,0.60,0.08
19,Study Session,LoRoom,lofi,focused,0.38,76,0.55,0.57,0.80
20,Dance Floor Fever,Max Pulse,pop,happy,0.90,126,0.88,0.91,0.10
21,Velvet Night,Slow Stereo,jazz,moody,0.40,88,0.45,0.50,0.85
22,Skyline Sprint,Neon Echo,pop,intense,0.87,130,0.72,0.85,0.12
23,Quiet Garden,Paper Lanterns,ambient,relaxed,0.22,55,0.62,0.32,0.96
24,Neon Jungle,Max Pulse,edm,intense,0.96,145,0.65,0.93,0.04
25,Campfire Tales,Indigo Parade,folk,relaxed,0.34,95,0.73,0.48,0.92
26,Heartbeat City,Neon Echo,pop,happy,0.80,122,0.86,0.83,0.20
27,Dusk Meditation,Orbit Bloom,ambient,chill,0.20,50,0.55,0.28,0.97
28,Rebel Yell,Voltline,rock,intense,0.92,155,0.50,0.65,0.09
29,Morning Coffee,LoRoom,lofi,relaxed,0.36,74,0.64,0.55,0.82
30,Summer Breeze,Indigo Parade,indie pop,happy,0.74,116,0.83,0.78,0.38
31,Warp Speed,Max Pulse,edm,intense,0.97,150,0.60,0.88,0.02
32,Silk Roads,Slow Stereo,jazz,chill,0.38,82,0.66,0.52,0.88
33,Stargazer,Orbit Bloom,ambient,focused,0.26,56,0.52,0.33,0.94
34,City Lights,Neon Echo,synthwave,moody,0.70,108,0.55,0.70,0.25
35,Wildfire,Voltline,rock,intense,0.90,148,0.52,0.68,0.11
36,Paper Boats,Paper Lanterns,folk,chill,0.30,70,0.67,0.42,0.90
37,Euphoria,Max Pulse,pop,happy,0.85,125,0.90,0.87,0.08
38,Late Night Jazz,Slow Stereo,jazz,moody,0.35,78,0.48,0.46,0.90
39,Cloud Nine,Indigo Parade,indie pop,happy,0.70,118,0.78,0.74,0.42
40,Afterglow,LoRoom,lofi,chill,0.40,77,0.58,0.60,0.75
41,Revolution,Voltline,rock,intense,0.93,160,0.42,0.62,0.07
42,Moonlit Path,Paper Lanterns,ambient,relaxed,0.24,62,0.60,0.36,0.94
43,Bounce Back,Max Pulse,edm,happy,0.89,135,0.80,0.91,0.06
44,Wooden Bridges,Indigo Parade,folk,relaxed,0.36,92,0.70,0.50,0.90
45,Chrome Hearts,Neon Echo,synthwave,moody,0.73,112,0.52,0.72,0.20
46,Jazz in the Rain,Slow Stereo,jazz,chill,0.33,80,0.62,0.48,0.92
47,Binary Sunset,Orbit Bloom,ambient,focused,0.27,54,0.48,0.31,0.96
48,Pop Rocket,Max Pulse,pop,intense,0.91,134,0.74,0.86,0.09
49,Daydream,LoRoom,lofi,chill,0.39,75,0.61,0.59,0.77
50,Festival Nights,Neon Echo,edm,happy,0.92,138,0.85,0.94,0.05
51,Broken Glass,Voltline,rock,moody,0.80,142,0.38,0.58,0.15
52,Origami Sky,Paper Lanterns,folk,chill,0.32,68,0.65,0.44,0.88
53,Turbo,Max Pulse,edm,intense,0.98,155,0.58,0.90,0.02
54,Riverside,Indigo Parade,indie pop,relaxed,0.60,100,0.72,0.65,0.55
55,Purple Haze Loop,Neon Echo,synthwave,moody,0.72,106,0.50,0.68,0.28
56,Smooth Operator,Slow Stereo,jazz,relaxed,0.34,86,0.70,0.53,0.87
57,White Noise,Orbit Bloom,ambient,focused,0.23,52,0.46,0.29,0.98
58,Crown,Voltline,rock,intense,0.89,150,0.55,0.64,0.12
59,Tea Time,LoRoom,lofi,relaxed,0.35,73,0.63,0.56,0.83
60,Glitter Bomb,Max Pulse,pop,happy,0.86,128,0.87,0.89,0.11
61,Wanderlust,Indigo Parade,indie pop,happy,0.68,114,0.76,0.72,0.45
62,Phantom Lane,Neon Echo,synthwave,moody,0.74,110,0.47,0.71,0.23
63,Maple Syrup,Paper Lanterns,folk,relaxed,0.33,88,0.69,0.46,0.91
64,Rave Cave,Max Pulse,edm,intense,0.96,148,0.62,0.92,0.03
65,Blue Note,Slow Stereo,jazz,moody,0.36,84,0.44,0.49,0.86
66,Zen Garden,Orbit Bloom,ambient,relaxed,0.21,48,0.57,0.27,0.97
67,Firework,Neon Echo,pop,happy,0.84,120,0.88,0.84,0.16
68,Iron Will,Voltline,rock,intense,0.88,146,0.46,0.63,0.13
69,Homework Beats,LoRoom,lofi,focused,0.41,79,0.57,0.61,0.76
70,Sunflower,Indigo Parade,indie pop,happy,0.71,117,0.80,0.75,0.41
71,Laser Tag,Max Pulse,edm,happy,0.90,136,0.78,0.90,0.04
72,Candlelight,Paper Lanterns,folk,chill,0.29,66,0.66,0.40,0.93
73,Noir City,Slow Stereo,jazz,moody,0.38,82,0.42,0.47,0.88
74,Nebula,Orbit Bloom,ambient,chill,0.25,57,0.53,0.34,0.95
75,Adrenaline,Voltline,rock,intense,0.95,162,0.44,0.67,0.06
76,Weekend Vibes,Neon Echo,pop,happy,0.81,121,0.85,0.81,0.19
